repository name,link
DioxusLabs/dioxus,https://github.com/DioxusLabs/dioxus
vitejs/vite,https://github.com/vitejs/vite
musistudio/claude-code-router,https://github.com/musistudio/claude-code-router
AykutSarac/jsoncrack.com,https://github.com/AykutSarac/jsoncrack.com
ripienaar/free-for-dev,https://github.com/ripienaar/free-for-dev
